galaxy_id,radius_kpc,v_obs_kms,v_obs_error
CamB,0.16,1.99,1.5
CamB,0.41,4.84,1.5
CamB,0.57,6.79,1.5
CamB,0.73,8.87,1.5
CamB,0.9,10.9,1.5
CamB,1.06,12.9,1.5
CamB,1.22,14.7,1.5
CamB,1.47,16.8,1.5
CamB,1.79,20.1,1.5
D512-2,0.96,22.9,2.71
D512-2,1.92,33.5,2.71
D512-2,2.88,37.2,4.19
D512-2,3.83,35.9,5.98
D564-8,0.51,8.54,1.53
D564-8,1.02,15.1,1.41
D564-8,1.53,19.8,1.8
D564-8,2.04,21.9,1.82
D564-8,2.56,24,1.89
D564-8,3.07,25,2.05
D631-7,0.45,8.41,1.58
D631-7,0.9,17.8,2.22
D631-7,1.35,26,2.35
D631-7,1.8,30.9,2.22
D631-7,2.25,34.7,1.82
D631-7,2.69,38.8,1.81
D631-7,3.14,42.5,1.57
D631-7,3.59,45.6,1.59
D631-7,4.04,48.8,1.83
D631-7,4.49,51.8,1.91
D631-7,4.94,54.8,2.19
D631-7,5.39,56.6,2.73
D631-7,5.84,58.4,3.27
D631-7,6.29,58.5,3.95
D631-7,6.74,57.7,4.07
D631-7,7.19,57.3,3.94
DDO064,0.1,6.29,4.62
DDO064,0.3,13.9,4.62
DDO064,0.49,15.6,4.62
DDO064,0.69,18.4,4.62
DDO064,0.89,22.5,4.62
DDO064,1.09,26.5,4.62
DDO064,1.29,35.3,4.62
DDO064,1.48,40.5,4.62
DDO064,1.68,44.2,4.89
DDO064,1.88,46.3,4.62
DDO064,2.08,46.4,4.62
DDO064,2.27,46.3,4.62
DDO064,2.37,46.4,6.73
DDO064,2.98,46.9,8.65
DDO154,0.49,13.8,1.6
DDO154,0.99,21.6,0.8
DDO154,1.48,28.9,0.7
DDO154,1.97,34.3,0.5
DDO154,2.47,38.2,0.4
DDO154,2.96,42,0.2
DDO154,3.46,44.6,0.2
DDO154,3.95,46.3,0.2
DDO154,4.44,47.4,0.3
DDO154,4.94,48.2,0.6
DDO154,5.43,47.4,0.7
DDO154,5.92,45.5,1.3
DDO161,0.6,16,3.53
DDO161,0.73,16.6,4.83
DDO161,0.85,18.6,2.5
DDO161,0.98,20,7.58
DDO161,1.07,21.4,4.03
DDO161,1.54,28.9,2.74
DDO161,2.02,32.9,2.65
DDO161,2.49,35.2,2.88
DDO161,2.96,37.6,3.05
DDO161,3.43,40.6,3.68
DDO161,3.9,42.7,3.25
DDO161,4.37,45.5,2.99
DDO161,4.86,48.9,1.96
DDO161,5.34,51.5,1.53
DDO161,5.81,53,1.86
DDO161,6.28,55,1.48
DDO161,6.75,57.6,0.99
DDO161,7.22,59.7,1.19
DDO161,7.69,60.5,1.26
DDO161,8.16,61.8,1.33
DDO161,8.64,62.9,1.35
DDO161,9.11,63,2.09
DDO161,9.58,64.5,2.38
DDO161,10.05,65.6,1.08
DDO161,10.52,67.5,3.22
DDO161,10.99,66.8,2.37
DDO161,11.46,66.8,0.95
DDO161,11.94,66.6,0.96
DDO161,12.41,66.8,0.99
DDO161,12.9,66.3,0.74
DDO161,13.37,66.1,1.31
DDO168,0.41,15,4.1
DDO168,0.82,23.4,1.3
DDO168,1.24,29.2,1.5
DDO168,1.64,36.2,1.1
DDO168,2.06,44,1.1
DDO168,2.47,52.1,1.2
DDO168,2.89,52.9,1.7
DDO168,3.3,54.8,2.2
DDO168,3.71,55,2.5
DDO168,4.12,52,2.7
DDO170,1.87,27.7,3
DDO170,3.36,42.4,1.5
DDO170,4.86,52.5,1
DDO170,6.35,55.6,1
DDO170,7.85,58.6,1.1
DDO170,9.34,59,1.2
DDO170,10.83,60,1.3
DDO170,12.33,62.2,1
ESO079-G014,0.41,33.2,11.6
ESO079-G014,0.98,50.4,11.8
ESO079-G014,1.78,53.9,9.75
ESO079-G014,2.69,67.6,5.1
ESO079-G014,3.36,81.7,5.06
ESO079-G014,4.39,102,5.35
ESO079-G014,5.65,116,6.44
ESO079-G014,6.34,132,9.1
ESO079-G014,6.89,137,5.25
ESO079-G014,8.34,154,4.2
ESO079-G014,10.04,163,3.28
ESO079-G014,11.65,170,2.41
ESO079-G014,13.36,175,2.18
ESO079-G014,15.06,177,2.23
ESO079-G014,16.67,178,2.03
ESO116-G012,0.25,20.9,3.4
ESO116-G012,0.83,40,3.29
ESO116-G012,1.38,51.5,2.96
ESO116-G012,1.85,67.9,3.45
ESO116-G012,2.68,80.2,2.93
ESO116-G012,3.19,83.3,3.08
ESO116-G012,3.68,91.4,2.83
ESO116-G012,4.13,102,5.4
ESO116-G012,5.23,105,4.21
ESO116-G012,6.05,109,2.1
ESO116-G012,6.81,108,2.1
ESO116-G012,7.56,109,2.1
ESO116-G012,8.32,110,2.1
ESO116-G012,9.09,111,2.33
ESO116-G012,9.86,112,4.74
ESO444-G084,0.26,18.3,1.8
ESO444-G084,0.77,35.3,3
ESO444-G084,1.29,47.8,4.63
ESO444-G084,1.81,52.8,1.26
ESO444-G084,2.32,58,3.11
ESO444-G084,3.39,63.1,1.35
ESO444-G084,4.44,62.7,7.36
ESO563-G021,0.45,18.9,9.78
ESO563-G021,1.34,58.3,10.5
ESO563-G021,2.23,74.1,5.69
ESO563-G021,3.12,119,4.27
ESO563-G021,4.01,141,3.76
ESO563-G021,4.9,195,4.54
ESO563-G021,5.79,227,4.2
ESO563-G021,6.69,246,4.24
ESO563-G021,7.58,268,5.56
ESO563-G021,8.47,283,2.96
ESO563-G021,10.23,291,9.81
ESO563-G021,12.06,310,4.74
ESO563-G021,13.44,310,20.4
ESO563-G021,15.18,310,16.1
ESO563-G021,16.83,314,13.5
ESO563-G021,18.56,317,12.7
ESO563-G021,20.3,319,10.4
ESO563-G021,21.94,318,10.8
ESO563-G021,23.68,317,9.3
ESO563-G021,25.41,317,7.23
ESO563-G021,27.06,312,8.39
ESO563-G021,28.8,312,8.37
ESO563-G021,30.53,311,11.5
ESO563-G021,32.18,310,14.5
ESO563-G021,33.91,313,15.9
ESO563-G021,35.65,320,8.83
ESO563-G021,37.3,321,7.88
ESO563-G021,39.03,320,8
ESO563-G021,40.76,315,9.82
ESO563-G021,42.41,312,9.07
F561-1,1.61,23.4,10
F561-1,3.23,40.6,5
F561-1,4.84,45.5,5
F561-1,6.45,49.2,5
F561-1,8.06,50.4,5
F561-1,9.66,50.4,5
F563-1,1.07,22.1,7.17
F563-1,1.78,42.7,10.66
F563-1,2.49,60.6,7.69
F563-1,2.97,76.8,11.1
F563-1,3.04,81.6,17.5
F563-1,3.19,87,8.93
F563-1,6.95,90,24.8
F563-1,8.58,97.8,9.4
F563-1,9.26,93.7,25.3
F563-1,9.89,103,23.8
F563-1,10.08,97.4,11
F563-1,11.84,106.5,9.48
F563-1,14.56,112,11
F563-1,15.43,111.5,9.4
F563-1,17.93,111,24.3
F563-1,19.02,112.5,7.75
F563-1,20.1,106,10.7
F563-V1,1.31,12,5
F563-V1,2.63,21.7,5
F563-V1,3.93,28.6,5
F563-V1,5.24,29.5,5
F563-V1,6.55,28.6,5
F563-V1,7.87,27.3,5
F563-V2,0.28,11.9,7.89
F563-V2,0.87,34.8,7.89
F563-V2,1.46,58.5,8.68
F563-V2,2.05,81.5,14.2
F563-V2,2.35,91.8,17.5
F563-V2,4.76,114,8.68
F563-V2,7.86,116,8.68
F563-V2,8.7,117,16.6
F563-V2,10.18,118,51.9
F563-V2,10.47,118,40.3
F565-V2,1.26,21.7,10
F565-V2,2.51,40.3,10
F565-V2,3.78,57.7,7
